title,election,year,type,status,percent,topics,topics2,topics3,topics4,topics5,topics6
"
 Term of Superior Judges",Special,1915,Legislative Referendum,Unknown,Status: Unknown,Judiciary,,,,,
"
 Appeals in Criminal Cases.",General,1911,Legislative Referendum,Undecided,Status: Undecided,Criminal Justice,,,,,
"
 Common Carriers. Railroads and Other Transportation.",General,1911,Legislative Referendum,Undecided,Status: Undecided,Transportation,,,,,
"
 Compensation for Industrial Accidents",General,1911,Legislative Referendum,Undecided,Status: Undecided,Business & Commerce,Insurance,Labor & Employment,,,
"
 County Charters, ""County Home Rule"".",General,1911,Legislative Referendum,Undecided,Status: Undecided,Local Government,,,,,
"
 Impeachment of State Officers and Judges.",General,1911,Legislative Referendum,Undecided,Status: Undecided,Judiciary,State Government,,,,
"
 Initiative and Referendum.",General,1911,Legislative Referendum,Undecided,Status: Undecided,Elections-Initiative Process,,,,,
"
 Legislative Power to Establish Inferior Courts.",General,1911,Legislative Referendum,Undecided,Status: Undecided,Judiciary,Legislatures,,,,
"
 Manner of Electing Officers of Cities. Municipal Elections.",General,1911,Legislative Referendum,Undecided,Status: Undecided,Elections,Local Government,,,,
"
 Measurement and Graduation of Weights and Measures.",General,1911,Legislative Referendum,Undecided,Status: Undecided,Business & Commerce,,,,,
"
 Minimum Period for use of Textbooks in the Common Schools.",General,1911,Legislative Referendum,Undecided,Status: Undecided,Education: PreK-12,,,,,
"
 Municipal Charters.",General,1911,Legislative Referendum,Undecided,Status: Undecided,Local Government,,,,,
"
 Overturn a 2018 Law that Replaced Money Bail System with a System Based on Public Safety Risk",General,2020,Popular Referendum,Undecided,Status: Undecided,Criminal Justice,,,,,
"
 Passes for Public Officials.",General,1911,Legislative Referendum,Undecided,Status: Undecided,State Government,Transportation,,,,
"
 Powers Conferred on Municipal Corporations by Freeholders' Charters. Municipalities.",General,1911,Legislative Referendum,Undecided,Status: Undecided,Business & Commerce,Local Government,,,,
"
 Property Tax Exemptions for Military Service.",General,1911,Legislative Referendum,Undecided,Status: Undecided,Military & Veterans Affairs,Tax & Revenue,,,,
"
 Public Utilities.",General,1911,Legislative Referendum,Undecided,Status: Undecided,Energy & Electric Utilities,,,,,
"
 Railroad Commission Power and Jurisdiction.",General,1911,Legislative Referendum,Undecided,Status: Undecided,State Government,Transportation,,,,
"
 Railroad Commission.",General,1911,Legislative Referendum,Undecided,Status: Undecided,State Government,Transportation,,,,
"
 Recall by the Electors, of Public Officials.",General,1911,Legislative Referendum,Undecided,Status: Undecided,Elections,,,,,
"
 Reducing Crime and Keeping California Safe Act",General,2020,Initiative,Undecided,Status: Undecided,Criminal Justice,,,,,
"
 Rights of Private Property, Law of Eminent Domain.",General,1911,Legislative Referendum,Undecided,Status: Undecided,Land Use/Property Rights,,,,,
"
 Schools and Local Communities Funding Act",General,2020,Initiative,Undecided,Status: Undecided,Economic Development,Education: Higher Ed,Education: PreK-12,Land Use/Property Rights,Tax & Revenue,
"
 Sessions of the Legislature.",General,1911,Legislative Referendum,Undecided,Status: Undecided,Legislatures,,,,,
"
 Supreme Court Officers. Clerk.",General,1911,Legislative Referendum,Undecided,Status: Undecided,Judiciary,,,,,
"
 Terms of Office.",General,1911,Legislative Referendum,Undecided,Status: Undecided,State Government,,,,,
"
 Murder: Punishment. Legislative Initiative Amendment.",Primary,1994,Legislative Referendum,Pass,Status: Pass,Criminal Justice,,,,,
"
 Property Tax Exemption. Disabled Persons' Access. Legislative Constitutional Amendment.",Primary,1994,Legislative Referendum,Pass,Status: Pass,Human Services,Tax & Revenue,,,,
"
 Taxation: Nonprofit Organizations. Legislative Constitutional Amendment.",Primary,1994,Legislative Referendum,Pass,Status: Pass,Human Services,Tax & Revenue,,,,
"
 Earthquake Relief and Seismic Retrofit Bond Act of 1994.",General,1994,Legislative Referendum,Fail,Status: Fail,Bond Measures,Human Services,Transportation,,,
"
 Higher Education Facilities Bond Act of June 1994.",General,1994,Legislative Referendum,Fail,Status: Fail,Bond Measures,Education: Higher Ed,,,,
"
 Park Lands, Historic Sites, Wildlife and Forest Conservation Bond Act. Initiative Statute.",Primary,1994,Initiative,Fail,Status: Fail,Animal Rights/Hunting & Fishing,Bond Measures,Natural Resources,,,
"
 Property Tax Exclusion. Water Conservation Equipment. Legislative Constitutional Amendment.",Primary,1994,Legislative Referendum,Fail,Status: Fail,Agriculture,Natural Resources,Tax & Revenue,,,
"
 Renters' Income Tax Credit. Legislative Constitutional Amendment.",Primary,1994,Legislative Referendum,Fail,Status: Fail,Tax & Revenue,,,,,
"
 Safe Schools Act of 1994.",General,1994,Legislative Referendum,Fail,Status: Fail,Bond Measures,Education: PreK-12,,,,
"
 Fish Nets",General,1948,Initiative,Fail (Yes votes: Unknown), Unknown,Animal Rights/Hunting & Fishing,Business & Commerce,Natural Resources,,,
"
 Housing",General,1948,Initiative,Fail (Yes votes: Unknown), Unknown,Human Services,,,,,
"
 Local Control and Enforcement of Intoxicating Liquors",General,1948,Initiative,Fail (Yes votes: Unknown), Unknown,Business & Commerce,Drug/Alcohol/Tobacco Policy,Local Government,,,
"
 Local Control of Intoxicating Liquors",General,1948,Initiative,Fail (Yes votes: Unknown), Unknown,Business & Commerce,Drug/Alcohol/Tobacco Policy,Local Government,,,
"
 Regulation of Commercial Fishing",General,1948,Initiative,Fail (Yes votes: Unknown), Unknown,Animal Rights/Hunting & Fishing,Business & Commerce,Natural Resources,,,
"
 Rights of Suffrage (Permitting Women to Vote).",General,1911,Legislative Referendum,Pass (Yes votes: unknown), unknown,Civil & Constitutional Law,Elections,,,,
"
 Senate Reapportionment1",General,1948,Initiative,Fail (Yes votes: Unknown), Unknown,Redistricting,,,,,
"
 Human Trafficking. Penalties. Sex Offender Registration. Initiative Statute.",General,2012,Initiative,Pass (Yes votes: 81.2% (unofficial)), 81.2% (unofficial,Criminal Justice,,,,,
"
 Suspension of Legislators Amendment",Primary,2016,Legislative Referendum,Pass (Yes votes: 75.3% unofficial), 75.3% unofficial,Legislatures,,,,,
"
 English Language Education",General,2016,Legislative Referendum,Pass (Yes votes: 72.4% unofficial), 72.4% unofficial,Education: PreK-12,,,,,
"
 Redistricting. State Senate Districts. Referendum.",General,2012,Popular Referendum,Pass (Yes votes: 72.1% (unofficial)), 72.1% (unofficial,Redistricting,,,,,
"
 State Fees on Hospitals Federal Medi-Cal Matching Funds",General,2016,Initiative,Pass (Yes votes: 69.6% unofficial), 69.6% unofficial,Health,State Government,,,,
"
 Three Strikes Law. Sentencing for Repeat Felony Offenders. Initiative Statute.",General,2012,Initiative,Pass (Yes votes: 68.8% (unofficial)), 68.8% (unofficial,Criminal Justice,,,,,
"
 State Budget. Budget Stabilization Account.",General,2014,Legislative Referendum,Pass (Yes votes: 68.7% unofficial), 68.7% unofficial,Budgets,,,,,
"
 Water Bond. Funding for Water Quality, Supply, Treatment, and Storage Projects.",General,2014,Legislative Referendum,Pass (Yes votes: 66.8% unofficial), 66.8% unofficial,Bond Measures,Natural Resources,,,,
"
 Veterans Housing & Homeless Bond Act of 2014",Primary,2014,Legislative Referendum,Pass (Yes votes: 65.4% (unofficial)), 65.4% (unofficial,Bond Measures,Human Services,Military & Veterans Affairs,,,
"
 Legislative Transparency Act",General,2016,Initiative,Pass (Yes votes: 64.3% unofficial), 64.3% unofficial,Legislatures,,,,,
"
 Prison Sentence Reform Amendment",General,2016,Initiative,Pass (Yes votes: 63.6% unofficial), 63.6% unofficial,Criminal Justice,,,,,
"
 Cigarette Tax Increase Amendment",General,2016,Initiative,Pass (Yes votes: 62.9% unofficial), 62.9% unofficial,Drug/Alcohol/Tobacco Policy,Health,Tax & Revenue,,,
"
 Safety For All Act",General,2016,Initiative,Pass (Yes votes: 62.6% unofficial), 62.6% unofficial,Criminal Justice,,,,,
